iter	Passed	Remaining
0	145	145770
1	147	73524
2	148	49382
3	149	37343
4	151	30082
5	152	25237
6	153	21839
7	155	19249
8	156	17252
9	158	15647
10	159	14312
11	160	13196
12	161	12253
13	162	11445
14	163	10741
15	164	10134
16	166	9640
17	168	9195
18	170	8777
19	171	8383
20	172	8027
21	173	7702
22	174	7405
23	175	7132
24	176	6882
25	177	6652
26	178	6438
27	179	6244
28	182	6098
29	183	5932
30	184	5772
31	186	5627
32	187	5487
33	188	5356
34	189	5229
35	190	5108
36	191	4995
37	193	4893
38	195	4812
39	196	4724
40	198	4638
41	199	4551
42	200	4466
43	201	4386
44	203	4310
45	204	4237
46	205	4166
47	212	4206
48	213	4150
49	216	4120
50	218	4070
51	220	4017
52	225	4031
53	227	3990
54	229	3944
55	231	3897
56	232	3853
57	234	3810
58	238	3796
59	241	3776
60	243	3750
61	245	3713
62	247	3676
63	249	3650
64	253	3643
65	255	3614
66	257	3583
67	258	3544
68	260	3508
69	261	3478
70	263	3449
71	268	3466
72	270	3437
73	272	3409
74	274	3381
75	275	3354
76	278	3336
77	279	3307
78	285	3324
79	286	3293
80	287	3262
81	288	3232
82	289	3196
83	290	3172
84	292	3144
85	293	3116
86	294	3090
87	296	3074
88	298	3051
89	299	3026
90	300	3002
91	301	2979
92	303	2957
93	304	2935
94	305	2912
95	306	2890
96	308	2868
97	309	2846
98	311	2833
99	312	2816
100	314	2795
101	315	2775
102	316	2756
103	317	2736
104	318	2718
105	320	2699
106	324	2710
107	329	2723
108	332	2718
109	334	2705
110	336	2692
111	337	2676
112	339	2664
113	347	2702
114	349	2692
115	351	2677
116	352	2664
117	354	2649
118	355	2633
119	358	2631
120	361	2627
121	362	2610
122	363	2595
123	365	2580
124	366	2564
125	367	2550
126	369	2542
127	375	2559
128	377	2547
129	384	2574
130	386	2561
131	389	2560
132	391	2551
133	405	2620
134	408	2616
135	409	2603
136	411	2595
137	413	2581
138	414	2568
139	418	2569
140	421	2567
141	422	2554
142	424	2541
143	425	2528
144	426	2515
145	427	2502
146	429	2489
147	433	2496
148	435	2489
149	437	2478
150	438	2466
151	440	2457
152	441	2445
153	442	2433
154	444	2422
155	445	2410
156	448	2405
157	450	2402
158	452	2394
159	454	2385
160	455	2371
161	456	2363
162	464	2384
163	466	2379
164	469	2376
165	471	2366
166	472	2355
167	473	2344
168	475	2339
169	479	2340
170	481	2336
171	484	2332
172	486	2326
173	487	2315
174	489	2305
175	497	2327
176	498	2317
177	499	2307
178	500	2297
179	501	2286
180	503	2276
181	508	2283
182	510	2278
183	511	2268
184	513	2264
185	516	2258
186	532	2313
187	534	2309
188	539	2315
189	541	2308
190	542	2298
191	543	2288
192	544	2278
193	546	2269
194	548	2265
195	554	2273
196	559	2282
197	561	2273
198	562	2265
199	564	2256
200	570	2268
201	571	2259
202	573	2253
203	576	2249
204	579	2246
205	588	2268
206	590	2261
207	591	2253
208	593	2244
209	594	2235
210	596	2228
211	599	2227
212	601	2221
213	603	2215
214	606	2214
215	608	2209
216	616	2222
217	617	2214
218	618	2205
219	619	2196
220	620	2188
221	625	2193
222	628	2188
223	629	2180
224	630	2172
225	631	2164
226	633	2156
227	634	2148
228	635	2140
229	639	2142
230	641	2134
231	642	2126
232	643	2118
233	644	2110
234	646	2102
235	647	2095
236	648	2087
237	649	2079
238	650	2072
239	655	2075
240	656	2067
241	657	2059
242	658	2052
243	660	2046
244	661	2039
245	663	2033
246	664	2027
247	694	2107
248	711	2146
249	713	2139
250	714	2133
251	730	2168
252	741	2188
253	742	2181
254	746	2181
255	755	2195
256	758	2191
257	759	2185
258	775	2218
259	777	2212
260	778	2205
261	784	2210
262	786	2203
263	787	2196
264	789	2189
265	791	2182
266	792	2176
267	794	2169
268	798	2170
269	800	2164
270	807	2171
271	809	2165
272	836	2227
273	841	2229
274	843	2222
275	851	2232
276	852	2226
277	855	2221
278	857	2215
279	858	2208
280	864	2210
281	867	2208
282	869	2203
283	876	2209
284	878	2203
285	881	2199
286	882	2192
287	884	2185
288	896	2205
289	898	2198
290	899	2192
291	901	2186
292	905	2185
293	907	2179
294	909	2173
295	912	2169
296	920	2177
297	921	2171
298	924	2167
299	926	2162
300	935	2172
301	936	2165
302	938	2157
303	939	2150
304	940	2142
305	941	2135
306	948	2141
307	950	2135
308	951	2128
309	953	2121
310	954	2114
311	956	2108
312	957	2102
313	970	2119
314	971	2112
315	972	2105
316	974	2099
317	1013	2174
318	1015	2168
319	1017	2161
320	1018	2154
321	1022	2153
322	1024	2147
323	1025	2140
324	1027	2133
325	1028	2126
326	1029	2119
327	1030	2111
328	1032	2105
329	1033	2097
330	1034	2091
331	1037	2088
332	1038	2081
333	1040	2074
334	1041	2067
335	1042	2060
336	1043	2053
337	1044	2046
338	1046	2040
339	1048	2035
340	1051	2031
341	1053	2027
342	1057	2025
343	1058	2018
344	1059	2011
345	1063	2011
346	1068	2011
347	1071	2007
348	1072	2000
349	1073	1994
350	1075	1987
351	1076	1981
352	1077	1974
353	1078	1968
354	1083	1969
355	1084	1962
356	1086	1956
357	1087	1950
358	1088	1944
359	1090	1938
360	1091	1932
361	1092	1925
362	1094	1920
363	1097	1916
364	1098	1911
365	1099	1905
366	1101	1900
367	1103	1894
368	1105	1890
369	1106	1884
370	1107	1878
371	1111	1876
372	1112	1870
373	1113	1864
374	1115	1858
375	1116	1852
376	1117	1847
377	1119	1841
378	1120	1835
379	1121	1829
380	1122	1823
381	1123	1817
382	1126	1814
383	1127	1808
384	1128	1803
385	1130	1797
386	1131	1791
387	1132	1785
388	1133	1780
389	1134	1774
390	1135	1768
391	1136	1762
392	1137	1757
393	1139	1751
394	1140	1747
395	1143	1743
396	1144	1738
397	1145	1733
398	1147	1728
399	1148	1722
400	1149	1717
401	1151	1712
402	1153	1709
403	1155	1704
404	1156	1699
405	1158	1694
406	1159	1689
407	1160	1683
408	1161	1678
409	1163	1673
410	1164	1668
411	1165	1663
412	1174	1669
413	1176	1664
414	1178	1660
415	1179	1656
416	1181	1651
417	1191	1659
418	1193	1655
419	1195	1650
420	1197	1646
421	1201	1645
422	1203	1641
423	1204	1636
424	1205	1631
425	1207	1626
426	1208	1622
427	1211	1619
428	1212	1614
429	1214	1609
430	1215	1604
431	1216	1599
432	1217	1594
433	1219	1589
434	1220	1584
435	1221	1580
436	1222	1575
437	1226	1573
438	1232	1574
439	1233	1570
440	1235	1565
441	1236	1560
442	1237	1556
443	1239	1551
444	1243	1550
445	1246	1547
446	1247	1543
447	1248	1538
448	1250	1534
449	1251	1529
450	1253	1525
451	1257	1524
452	1259	1521
453	1261	1517
454	1266	1516
455	1279	1526
456	1282	1523
457	1293	1530
458	1296	1528
459	1300	1526
460	1320	1543
461	1323	1541
462	1325	1537
463	1326	1532
464	1328	1528
465	1330	1524
466	1338	1527
467	1339	1522
468	1341	1518
469	1342	1513
470	1344	1509
471	1345	1505
472	1347	1500
473	1349	1497
474	1352	1494
475	1353	1489
476	1354	1485
477	1355	1480
478	1357	1476
479	1359	1472
480	1367	1475
481	1368	1470
482	1370	1466
483	1371	1462
484	1373	1458
485	1374	1453
486	1375	1449
487	1376	1444
488	1382	1444
489	1383	1439
490	1384	1435
491	1386	1431
492	1387	1427
493	1389	1423
494	1395	1424
495	1398	1420
496	1400	1416
497	1404	1415
498	1406	1412
499	1410	1410
500	1412	1406
501	1415	1403
502	1417	1400
503	1419	1396
504	1420	1392
505	1421	1387
506	1422	1383
507	1424	1379
508	1426	1375
509	1427	1371
510	1428	1366
511	1429	1362
512	1431	1358
513	1443	1365
514	1447	1363
515	1448	1358
516	1450	1354
517	1451	1350
518	1455	1349
519	1457	1345
520	1458	1340
521	1459	1336
522	1460	1332
523	1462	1328
524	1463	1324
525	1464	1319
526	1465	1315
527	1468	1313
528	1470	1309
529	1475	1308
530	1478	1306
531	1480	1302
532	1484	1300
533	1488	1299
534	1491	1296
535	1492	1292
536	1493	1287
537	1494	1283
538	1497	1280
539	1501	1278
540	1502	1274
541	1503	1270
542	1505	1266
543	1507	1263
544	1509	1260
545	1515	1260
546	1518	1257
547	1521	1255
548	1522	1251
549	1524	1247
550	1527	1244
551	1529	1241
552	1530	1237
553	1532	1233
554	1534	1230
555	1542	1231
556	1543	1227
557	1545	1223
558	1546	1219
559	1547	1215
560	1548	1211
561	1549	1207
562	1550	1203
563	1555	1202
564	1560	1201
565	1564	1199
566	1566	1196
567	1573	1196
568	1576	1194
569	1577	1190
570	1579	1186
571	1580	1182
572	1581	1178
573	1584	1175
574	1585	1171
575	1588	1169
576	1592	1167
577	1593	1163
578	1594	1159
579	1596	1155
580	1598	1152
581	1599	1148
582	1601	1145
583	1602	1141
584	1603	1137
585	1604	1133
586	1605	1129
587	1608	1126
588	1609	1123
589	1612	1120
590	1613	1116
591	1615	1113
592	1616	1109
593	1618	1105
594	1619	1102
595	1620	1098
596	1622	1094
597	1624	1092
598	1628	1090
599	1630	1086
600	1631	1083
601	1632	1079
602	1633	1075
603	1634	1071
604	1635	1067
605	1636	1064
606	1638	1060
607	1639	1057
608	1641	1053
609	1642	1050
610	1643	1046
611	1645	1043
612	1646	1039
613	1647	1035
614	1649	1032
615	1650	1028
616	1654	1027
617	1657	1024
618	1669	1027
619	1671	1024
620	1672	1021
621	1674	1017
622	1675	1013
623	1676	1010
624	1677	1006
625	1678	1003
626	1680	999
627	1681	995
628	1682	992
629	1684	989
630	1686	985
631	1687	982
632	1688	978
633	1689	975
634	1700	977
635	1701	973
636	1703	970
637	1704	967
638	1705	963
639	1708	960
640	1710	958
641	1713	955
642	1714	952
643	1715	948
644	1717	945
645	1718	941
646	1720	938
647	1725	937
648	1727	934
649	1728	930
650	1730	927
651	1731	924
652	1732	920
653	1734	917
654	1735	914
655	1745	915
656	1746	911
657	1747	908
658	1749	905
659	1750	901
660	1751	898
661	1755	896
662	1757	893
663	1759	890
664	1760	886
665	1761	883
666	1762	879
667	1764	876
668	1766	873
669	1770	872
670	1775	870
671	1777	867
672	1778	864
673	1779	860
674	1781	857
675	1783	854
676	1785	852
677	1791	850
678	1793	847
679	1795	844
680	1799	842
681	1802	840
682	1803	837
683	1804	833
684	1805	830
685	1806	826
686	1807	823
687	1808	820
688	1810	817
689	1815	815
690	1816	812
691	1817	808
692	1818	805
693	1819	802
694	1820	798
695	1821	795
696	1822	792
697	1823	789
698	1825	786
699	1829	784
700	1830	780
701	1831	777
702	1832	774
703	1833	770
704	1834	767
705	1835	764
706	1836	761
707	1837	757
708	1838	754
709	1841	752
710	1843	749
711	1844	746
712	1845	743
713	1847	739
714	1848	736
715	1849	733
716	1850	730
717	1851	727
718	1852	723
719	1853	720
720	1855	718
721	1857	715
722	1858	712
723	1859	708
724	1860	705
725	1861	702
726	1862	699
727	1863	696
728	1864	693
729	1866	690
730	1867	687
731	1868	683
732	1872	681
733	1873	678
734	1874	675
735	1875	672
736	1877	669
737	1878	666
738	1879	663
739	1880	660
740	1884	658
741	1885	655
742	1886	652
743	1887	649
744	1888	646
745	1889	643
746	1890	640
747	1891	637
748	1892	634
749	1893	631
750	1894	628
751	1895	625
752	1899	623
753	1900	620
754	1901	617
755	1902	614
756	1903	611
757	1904	608
758	1905	605
759	1906	602
760	1907	599
761	1908	596
762	1909	593
763	1913	590
764	1914	588
765	1916	585
766	1917	582
767	1918	579
768	1919	576
769	1920	573
770	1921	570
771	1922	567
772	1923	564
773	1924	562
774	1928	559
775	1929	556
776	1930	554
777	1931	551
778	1932	548
779	1933	545
780	1935	542
781	1936	539
782	1937	536
783	1938	533
784	1939	531
785	1940	528
786	1943	525
787	1944	523
788	1945	520
789	1946	517
790	1947	514
791	1948	511
792	1949	508
793	1950	506
794	1951	503
795	1952	500
796	1953	497
797	1955	494
798	1958	492
799	1959	489
800	1960	487
801	1961	484
802	1962	481
803	1963	478
804	1964	475
805	1965	473
806	1966	470
807	1967	467
808	1968	464
809	1970	462
810	1973	459
811	1974	457
812	1975	454
813	1976	451
814	1977	448
815	1978	446
816	1979	443
817	1980	440
818	1981	438
819	1983	435
820	1984	432
821	1987	430
822	1988	427
823	1989	425
824	1990	422
825	1991	419
826	1992	416
827	1994	414
828	1995	411
829	1996	408
830	1997	406
831	1998	403
832	1999	400
833	2002	398
834	2004	396
835	2005	393
836	2006	390
837	2007	388
838	2008	385
839	2009	382
840	2010	380
841	2012	377
842	2013	374
843	2014	372
844	2017	370
845	2019	367
846	2020	364
847	2021	362
848	2022	359
849	2023	357
850	2024	354
851	2025	351
852	2026	349
853	2027	346
854	2028	344
855	2033	342
856	2035	339
857	2037	337
858	2038	334
859	2040	332
860	2041	329
861	2042	326
862	2043	324
863	2047	322
864	2049	319
865	2050	317
866	2051	314
867	2052	312
868	2053	309
869	2054	306
870	2055	304
871	2056	301
872	2057	299
873	2058	296
874	2062	294
875	2063	292
876	2064	289
877	2065	287
878	2066	284
879	2067	281
880	2068	279
881	2069	276
882	2070	274
883	2071	271
884	2072	269
885	2073	266
886	2076	264
887	2078	262
888	2080	259
889	2081	257
890	2082	254
891	2084	252
892	2085	249
893	2086	247
894	2087	244
895	2097	243
896	2098	240
897	2099	238
898	2101	236
899	2102	233
900	2103	231
901	2105	228
902	2112	226
903	2113	224
904	2114	222
905	2116	219
906	2117	217
907	2118	214
908	2120	212
909	2122	209
910	2130	208
911	2132	205
912	2134	203
913	2139	201
914	2144	199
915	2146	196
916	2149	194
917	2162	193
918	2165	190
919	2167	188
920	2171	186
921	2173	183
922	2174	181
923	2175	178
924	2176	176
925	2179	174
926	2181	171
927	2186	169
928	2188	167
929	2190	164
930	2191	162
931	2193	160
932	2194	157
933	2199	155
934	2201	153
935	2203	150
936	2204	148
937	2205	145
938	2210	143
939	2212	141
940	2213	138
941	2215	136
942	2216	133
943	2217	131
944	2218	129
945	2220	126
946	2221	124
947	2225	122
948	2227	119
949	2229	117
950	2231	114
951	2233	112
952	2234	110
953	2235	107
954	2246	105
955	2247	103
