iter	Passed	Remaining
0	1	163
1	2	144
2	4	137
3	5	126
4	6	126
5	8	126
6	9	124
7	10	125
8	12	123
9	13	123
10	15	121
11	16	120
12	17	118
13	19	117
14	20	115
15	21	113
16	22	112
17	24	110
18	25	109
19	26	107
20	28	107
21	29	105
22	31	103
23	32	102
24	33	100
25	35	99
26	36	98
27	37	96
28	39	95
29	40	94
30	41	93
31	43	92
32	44	91
33	46	89
34	47	88
35	48	86
36	50	85
37	51	84
38	53	83
39	54	81
40	55	80
41	56	77
42	57	76
43	59	75
44	60	73
45	61	72
46	63	71
47	64	69
48	65	68
49	66	66
50	68	65
51	69	64
52	71	63
53	72	61
54	73	60
55	74	58
56	76	57
57	77	56
58	79	54
59	80	53
60	81	52
61	83	51
62	84	49
63	85	48
64	87	47
65	88	45
66	90	44
67	91	42
68	92	41
69	93	40
70	95	38
71	96	37
72	98	36
73	99	34
74	100	33
75	101	32
76	103	30
77	104	29
78	105	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	114	20
85	115	18
86	116	17
87	118	16
88	119	14
89	120	13
90	122	12
91	123	10
92	124	9
93	126	8
94	128	6
95	129	5
96	130	4
97	132	2
98	133	1
99	134	0
